Category,Name,Method,URI,Input,Response,Normal Response Code,Error Response Code,Description,Remark,,POST
,,,,,,,,,,,Gets a json-schema document that represents an image member entity. (Since Images v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/metadefs
,,,,,,,,,,,List resource types
,,,,,,,,,,,
,,,,,,,,,,,Lists resource types.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/resource_types
,,,,,,,,,,,Create resource type association
,,,,,,,,,,,
,,,,,,,,,,,Creates a resource type association in a namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/resource_types
,,,,,,,,,,,List resource type associations
,,,,,,,,,,,
,,,,,,,,,,,Lists resource type associations in a specified namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,DELETE
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/resource_types/?{name}?
,,,,,,,,,,,Remove resource type association
,,,,,,,,,,,
,,,,,,,,,,,Removes a specified resource type association in a specified namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/metadefs/namespaces
,,,,,,,,,,,Create namespace
,,,,,,,,,,,
,,,,,,,,,,,Creates a namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/metadefs/namespaces
,,,,,,,,,,,List namespaces
,,,,,,,,,,,
,,,,,,,,,,,Lists public namespaces.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?
,,,,,,,,,,,Get namespaces details
,,,,,,,,,,,
,,,,,,,,,,,Gets details for a specified namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,PUT
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?
,,,,,,,,,,,Update namespace
,,,,,,,,,,,
,,,,,,,,,,,Updates a specified namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,DELETE
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?
,,,,,,,,,,,Delete namespace
,,,,,,,,,,,
,,,,,,,,,,,"Deletes a specified namespace and its properties, objects, and any resource type associations."
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/properties
,,,,,,,,,,,Create property
,,,,,,,,,,,
,,,,,,,,,,,Creates a property definition within a namespace. Schema is subset of JSON Property definition schema
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/properties
,,,,,,,,,,,List properties
,,,,,,,,,,,
,,,,,,,,,,,Lists property definitions within a namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/properties/?{property_name}?
,,,,,,,,,,,Get property definition
,,,,,,,,,,,
,,,,,,,,,,,Gets definition for a specified property.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,PUT
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/properties/?{property_name}?
,,,,,,,,,,,Update property definition
,,,,,,,,,,,
,,,,,,,,,,,Updates a specified property definition.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,DELETE
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/properties/?{property_name}?
,,,,,,,,,,,Remove property definition
,,,,,,,,,,,
,,,,,,,,,,,Removes a specified property definition in a specified namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/objects
,,,,,,,,,,,Create object
,,,,,,,,,,,
,,,,,,,,,,,Creates an object definition in a specified namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/objects
,,,,,,,,,,,List objects
,,,,,,,,,,,
,,,,,,,,,,,Lists object definitions within a namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/objects/?{object_name}?
,,,,,,,,,,,Get object definition
,,,,,,,,,,,
,,,,,,,,,,,Gets definition for a specified object.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,PUT
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/objects/?{object_name}?
,,,,,,,,,,,Update object definition
,,,,,,,,,,,
,,,,,,,,,,,Updates a specified object definition in a specified namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,DELETE
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/objects/?{object_name}?
,,,,,,,,,,,Delete property definition
,,,,,,,,,,,
,,,,,,,,,,,Deletes a specified object definition within a namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/tags
,,,,,,,,,,,Create tags
,,,,,,,,,,,
,,,,,,,,,,,Creates one or more tag definitions in a specified namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
