Category,Name,Method,URI,Input,Response,Normal Response Code,Error Response Code,Description,Remark,,GET
,,,,,,,,,,,Sets a metadata item by key for a specified server.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,DELETE
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/metadata/?{key}?
,,,,,,,,,,,Delete server metadata item
,,,,,,,,,,,
,,,,,,,,,,,Deletes a metadata item by key for a specified server.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/ips
,,,,,,,,,,,List addresses
,,,,,,,,,,,
,,,,,,,,,,,Lists networks and addresses for a specified tenant and server.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/ips/?{network_label}?
,,,,,,,,,,,List addresses by network
,,,,,,,,,,,
,,,,,,,,,,,"Lists addresses for a specified tenant, server, and network."
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/action
,,,,,,,,,,,Change password
,,,,,,,,,,,
,,,,,,,,,,,Changes the password for a server. Specify the changePassword action in the request body.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/action
,,,,,,,,,,,Reboot server
,,,,,,,,,,,
,,,,,,,,,,,Reboots the specified server. Specify the reboot action in the request body.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/action
,,,,,,,,,,,Rebuild server
,,,,,,,,,,,
,,,,,,,,,,,Rebuilds the specified server. Specify the rebuild action in the request body.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/action
,,,,,,,,,,,Resize server
,,,,,,,,,,,
,,,,,,,,,,,Resizes the specified server. Specify the resize action in the request body.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/action
,,,,,,,,,,,Confirm resized server
,,,,,,,,,,,
,,,,,,,,,,,Confirms a pending resize action. Specify the confirmResize action in the request body.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/action
,,,,,,,,,,,Revert resized server
,,,,,,,,,,,
,,,,,,,,,,,Cancels and reverts a pending resize action. Specify the revertResize action in the request body.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/action
,,,,,,,,,,,Create image
,,,,,,,,,,,
,,,,,,,,,,,Creates an image. Specify the createImage action in the request body.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/flavors
,,,,,,,,,,,List flavors
,,,,,,,,,,,
,,,,,,,,,,,"Lists IDs, names, and links for available flavors."
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/flavors/detail
,,,,,,,,,,,List details for flavors
,,,,,,,,,,,
,,,,,,,,,,,Lists all details for available flavors.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/flavors/?{flavor_id}?
,,,,,,,,,,,Get flavor details
,,,,,,,,,,,
,,,,,,,,,,,Gets details for a specified flavor.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/images
